RangoEtario,MINT,MNAC,MSLD,AM05,AM18,AM17,AM15
Hijos 0 - 17 años,9360.0,4916.0,4173.0,3628.0,3460.0,2551.0,2178.0
Hijos 18 - 25 años,9432.0,4935.0,4173.0,3761.9999999999995,3530.0,2613.9999999999995,2178.0
Hijos 26 años,10069.999999999998,5470.0,4603.0,3908.0,3600.0,2738.0,2302.0
0 - 17 años,12102.0,5239.000000000001,4226.999999999995,3735.0,3460.0,2551.0,2178.0
18 - 25 años,12363.0,5239.000000000001,4227.0,3828.0,3530.0,2613.9999999999995,2178.0
26 años,12398.0,5666.999999999999,4700.0,4288.0,3600.0,2738.0,2302.0
27 años,12481.0,5983.0,4980.0,4302.0,3698.0,2800.0,2302.0
28 años,12740.999999999998,6281.0,5200.0,4317.0,3846.0,2825.0000000000005,2302.0
29 años,13001.0,6636.0,5360.0,4332.0,3968.0,2863.0,2302.0
30 años,13250.0,7032.0,5379.999999999999,4411.0,3991.0000000000005,2887.0,2302.0
31 años,13509.0,7274.0,5459.999999999999,4411.0,4063.0,2925.0,2551.0
32 años,13757.0,7570.0,5480.0,4427.0,4085.0,2987.0,2551.0
33 años,13887.0,7755.0,5530.0,4455.0,4094.0,3049.0,2551.0
34 años,14147.0,7912.0,5555.0,4477.0,4100.0,3111.0,2551.0
35 años,14337.0,8039.999999999999,5625.0,4508.0,4120.0,3174.0,2551.0
36 años,14525.0,8141.0,5635.0,4575.0,4150.0,3236.0,2676.0000000000005
37 años,14904.000000000002,8242.0,5640.0,4575.0,4190.0,3298.0,2676.0000000000005
38 años,15293.0,8410.0,5660.0,4624.0,4200.0,3360.0,2676.0000000000005
39 años,15671.999999999998,8593.0,5680.0,4874.0,4222.0,3423.0,2676.0000000000005
40 años,16050.0,8970.0,5699.999999999999,5214.000000000001,4300.0,3485.0,2676.0000000000005
41 años,16310.0,9303.0,6200.0,5365.999999999999,4486.0,3672.0,2863.0
42 años,16688.0,9759.0,6600.0,5519.0,4815.0,3858.0,3049.0
43 años,17078.0,10105.0,7180.0,5672.0,5145.000000000001,4008.0,3174.0
44 años,17197.0,10477.0,7399.999999999999,5848.999999999999,5475.0,4132.0,3298.0
45 años,17327.0,10739.0,7730.0,6077.999999999999,5476.0,4256.0,3423.0
46 años,18083.0,11316.0,8250.0,6333.0,6135.0,4381.0,3547.0
47 años,18982.0,11726.0,8600.0,6586.0,6331.999999999999,4505.0,3672.0
48 años,19879.0,12027.0,8852.0,6854.0,7202.0,4754.0,3796.0
49 años,20766.0,12477.0,9143.0,7159.0,7626.000000000001,5078.0,3983.0
50 años,21912.0,13023.0,9482.0,7501.999999999999,8049.0,5414.0,4169.0
51 años,22929.0,13996.0,10116.0,7857.999999999999,8473.0,5725.0,4356.0
52 años,24206.0,15040.0,10575.0,8265.0,8896.0,6036.0,4729.0
53 años,26369.0,15903.000000000002,10927.0,8711.0,9320.0,6347.0,5103.0
54 años,27775.0,16683.0,11397.0,9181.0,9744.0,6720.999999999999,5476.0
55 años,29560.0,17390.0,11904.0,9715.0,10167.0,7094.0,5850.0
56 años,31722.0,17947.0,12412.0,10300.0,10731.999999999998,7468.0,6223.0
57 años,34098.0,18994.0,12918.0,10935.0,11438.000000000002,7841.0,6659.0
58 años,36107.0,20054.0,13513.999999999998,11674.0,12144.0,8339.0,7094.0
59 años,38270.0,21165.999999999996,14528.0,12398.0,12850.0,8837.0,7530.0
60 años,40256.00000000001,22494.0,15905.0,13123.0,14263.0,10703.0,7903.0
61 años,43954.00000000001,23615.0,16848.0,14589.999999999998,16381.0,12135.0,8339.0
62 años,47784.00000000001,24966.0,18547.0,15661.0,17934.0,13441.999999999998,8837.0
63 años,50963.0,26667.0,19953.0,16919.0,19770.0,14686.0,9334.0
64 años,54025.0,28786.0,21353.999999999996,18272.0,20708.0,15930.999999999998,10080.999999999998
65 años,57841.99999999999,30766.0,23169.000000000004,19878.0,22120.0,17549.0,11201.000000000002
66 años,61151.0,35966.0,25511.0,23326.0,24712.0,18793.0,12446.0
67 años,64981.0,38137.0,28084.0,25258.0,26830.0,20660.0,14313.0
68 años,70169.0,40590.0,30813.0,27354.0,28949.0,21905.0,16180.0
69 años,74152.0,44348.0,33086.0,29274.0,31067.0,23149.0,18047.0
70 años,80263.0,47666.0,35113.00000000006,31358.0,32903.0,24394.0,19913.0
71 a 75 años,88678.0,51715.99999999999,39500.0,33593.0,34738.0,25016.0,21158.0
76 a 80 años,91727.99999999999,58939.0,42054.00000000001,35525.0,36857.0,27505.0,22403.0
81 años a más,92496.0,65002.0,46576.0,37597.0,38975.0,29061.0,23647.0
